run,type,module,name,attrname,attrvalue,value
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,configname,BaselineHtMcs7,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,datetime,20260808-12:40:38,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,datetimef,20260808-124038,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,experiment,BaselineHtMcs7,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,inifile,/home/user/omnetpp_ws/inet/examples/ieee80211ac/vht_mcs_256qam/omnetpp.ini,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,iterationvars,,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,iterationvarsd,,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,iterationvarsf,,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,measurement,,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,network,inet.examples.ieee80211.common.SingleBssNetwork,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,processid,38599,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,repetition,1,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,replication,#1,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,resultdir,/home/user/omnetpp_ws/inet/examples/ieee80211ac/vht_mcs_256qam/results/20260808T103941Z/BaselineHtMcs7,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,runnumber,1,
BaselineHtMcs7-1-20260808-12:40:38-38599,runattr,,,seedset,1,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.app[*].endToEndDelay*.vector-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.app[*].packetReceived*.scalar-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.app[*].packetReceived*.vector-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.app[*].packetSent*.scalar-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.app[*].packetSent*.vector-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.numHosts,3,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.packetDropQueueOverflow*.scalar-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.packetDropRetryLimitReached*.scalar-recording,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.scalar-recording,false,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.vector-recording,false,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,image-path,/home/user/omnetpp_ws/inet/images,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,repeat,5,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,result-dir,/home/user/omnetpp_ws/inet/examples/ieee80211ac/vht_mcs_256qam/results/20260808T103941Z/BaselineHtMcs7,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,seed-set,1,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,description,"HT MCS 7 baseline (64-QAM 5/6 coding rate, 65 Mbps)",
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,extends,Base,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.opMode,"""n(mixed-2.4Ghz)""",
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.bandName,"""2.4 GHz""",
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.dataFrameBitrate,65Mbps,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.dataFrameBandwidth,20MHz,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.dataFrameNumSpatialStreams,1,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.isBlockAckSupported,true,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateControl.typename,,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.mgmtFrameBitrate,6Mbps,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.controlFrameBitrate,6Mbps,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.responseAckFrameBitrate,6Mbps,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,**.wlan[*].mac.hcf.rateSelection.responseBlockAckFrameBitrate,6Mbps,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,network,inet.examples.ieee80211.common.SingleBssNetwork,
BaselineHtMcs7-1-20260808-12:40:38-38599,config,,,sim-time-limit,1s,
